Location,Last location,Next location,FullEmpty,With customer,ContainerType,ContainerSize,Owner,count
CA NWP,,,Empty,False,22U1,20.0,CARRIER,1
CA NWP,,,Empty,False,42G1,40.0,SHIPPER,1
CA NWP,,,Empty,False,42P3,40.0,CARRIER,1
CA NWP,,,Empty,False,42P3,40.0,ONEWAY,1
CA NWP,,,Empty,False,42U1,40.0,CARRIER,1
CA NWP,,,Empty,False,45G1,40.0,CARRIER,5
CA NWP,,,Empty,False,45GB,40.0,CARRIER,1
CA NWP,,,Empty,False,45P3,40.0,CARRIER,1
CA NWP,,,Empty,False,45P3,40.0,ONEWAY,1
CA NWP,,,Empty,False,45R1,40.0,CARRIER,2
CA NWP,,,Empty,False,45U1,40.0,CARRIER,1
CA NWP,,,Empty,True,22G1,20.0,CARRIER,1
CA NWP,,,Empty,True,45G1,40.0,CARRIER,1
CA NWP,,,Empty,True,45R1,40.0,CARRIER,1
CA NWP,,,Full,False,22G1,20.0,CARRIER,2
CA NWP,,,Full,False,22G1,20.0,SHIPPER,1
CA NWP,,,Full,False,22GB,20.0,CARRIER,1
CA NWP,,,Full,False,22U1,20.0,CARRIER,1
CA NWP,,,Full,False,42P3,40.0,CARRIER,1
CA NWP,,,Full,False,42P3,40.0,SHIPPER,1
CA NWP,,,Full,False,42U1,40.0,CARRIER,1
CA NWP,,,Full,False,42U1,40.0,SHIPPER,1
CA NWP,,,Full,False,45G1,40.0,CARRIER,5
CA NWP,,,Full,False,45G1,40.0,ONEWAY,1
CA NWP,,,Full,False,45G1,40.0,SHIPPER,1
CA NWP,,,Full,False,45H5,40.0,SHIPPER,1
CA NWP,,,Full,False,45P3,40.0,CARRIER,1
CA NWP,,,Full,False,45R1,40.0,CARRIER,3
CA NWP,,,Full,False,45U1,40.0,CARRIER,1
CA NWP,,,Full,True,22G1,20.0,CARRIER,9
CA NWP,,,Full,True,22U1,20.0,CARRIER,1
CA NWP,,,Full,True,45G1,40.0,CARRIER,1
CA NWP,,,Full,True,45U1,40.0,CARRIER,1
CA SAT,,,Empty,False,45G1,40.0,CARRIER,1
CA SAT,,,Empty,False,45R1,40.0,CARRIER,1
CH BSL,,,Empty,False,22G1,20.0,CARRIER,1
CH BSL,,,Empty,True,45G1,40.0,CARRIER,1
DE AGB,,,Empty,False,45G1,40.0,CARRIER,2
DE BRE,,,Empty,False,22G1,20.0,CARRIER,1
DE BRE,,,Empty,False,42U1,40.0,CARRIER,1
DE BRE,,,Empty,False,45G1,40.0,CARRIER,1
DE BRE,,,Empty,False,45R1,40.0,CARRIER,1
DE BRV,,,Empty,False,22G1,20.0,CARRIER,2
DE BRV,,,Empty,False,22G1,20.0,ONEWAY,1
DE BRV,,,Empty,False,22G1,20.0,SHIPPER,1
DE BRV,,,Empty,False,22U1,20.0,CARRIER,1
DE BRV,,,Empty,False,22U1,20.0,SHIPPER,1
DE BRV,,,Empty,False,42G1,40.0,CARRIER,1
DE BRV,,,Empty,False,42P3,40.0,CARRIER,2
DE BRV,,,Empty,False,42U1,40.0,CARRIER,1
DE BRV,,,Empty,False,45G1,40.0,CARRIER,18
DE BRV,,,Empty,False,45G1,40.0,ONEWAY,1
DE BRV,,,Empty,False,45G1,40.0,SHIPPER,1
DE BRV,,,Empty,False,45P3,40.0,CARRIER,2
DE BRV,,,Empty,False,45R1,40.0,CARRIER,2
DE BRV,,,Empty,False,45R1,40.0,ONEWAY,1
DE BRV,,,Empty,False,45U1,40.0,CARRIER,2
DE BRV,,,Empty,False,4EG1,40.0,CARRIER,2
DE BRV,,,Empty,False,LNRB,45.0,CARRIER,1
DE BRV,,,Empty,True,22G1,20.0,CARRIER,1
DE BRV,,,Empty,True,42P3,40.0,CARRIER,1
DE BRV,,,Empty,True,42P3,40.0,SHIPPER,1
DE BRV,,,Empty,True,45G1,40.0,CARRIER,1
DE BRV,,,Empty,True,45G1,40.0,ONEWAY,1
DE BRV,,,Empty,True,45R1,40.0,CARRIER,1
DE BRV,,,Empty,True,45U1,40.0,CARRIER,1
DE BRV,,,Empty,True,4EG1,40.0,CARRIER,1
DE BRV,,,Empty,True,LNRB,45.0,CARRIER,1
DE BRV,,,Full,False,22G1,20.0,CARRIER,1
DE BRV,,,Full,False,22G1,20.0,ONEWAY,1
DE BRV,,,Full,False,22P3,20.0,SHIPPER,1
DE BRV,,,Full,False,42P3,40.0,CARRIER,1
DE BRV,,,Full,False,45G1,40.0,CARRIER,1
DE BRV,,,Full,False,45G1,40.0,ONEWAY,1
DE BRV,,,Full,False,45G1,40.0,SHIPPER,1
DE BRV,,,Full,False,45P3,40.0,CARRIER,1
DE BRV,,,Full,False,45R1,40.0,CARRIER,1
DE BRV,,,Full,False,45R1,40.0,ONEWAY,1
DE BRV,,,Full,False,4EG1,40.0,CARRIER,1
DE BRV,,,Full,False,,,,1
DE BRV,,,Full,True,22G1,20.0,CARRIER,2
DE BRV,,,Full,True,22G1,20.0,ONEWAY,1
DE BRV,,,Full,True,42U1,40.0,CARRIER,1
DE BRV,,,Full,True,45G1,40.0,CARRIER,1
DE BRV,,,Full,True,45G1,40.0,ONEWAY,1
DE BRV,,,Full,True,45R1,40.0,CARRIER,1
DE BRV,,,Full,True,LNRB,45.0,CARRIER,1
DE HAM,,,Empty,False,22G1,20.0,CARRIER,2
DE HAM,,,Empty,False,45G1,40.0,CARRIER,1
DK AAR,,,Empty,False,22B0,20.0,CARRIER,2
DK AAR,,,Empty,False,22G1,20.0,CARRIER,5
DK AAR,,,Empty,False,22G1,20.0,ONEWAY,1
DK AAR,,,Empty,False,22G1,20.0,SHIPPER,1
DK AAR,,,Empty,False,22P3,20.0,ONEWAY,1
DK AAR,,,Empty,False,22R1,20.0,ONEWAY,1
DK AAR,,,Empty,False,22U1,20.0,CARRIER,1
DK AAR,,,Empty,False,25G1,20.0,ONEWAY,1
DK AAR,,,Empty,False,42G1,40.0,CARRIER,1
DK AAR,,,Empty,False,42G1,40.0,ONEWAY,1
DK AAR,,,Empty,False,42P3,40.0,CARRIER,7
DK AAR,,,Empty,False,42P3,40.0,ONEWAY,1
DK AAR,,,Empty,False,42P3,40.0,SHIPPER,1
DK AAR,,,Empty,False,42U1,40.0,CARRIER,2
DK AAR,,,Empty,False,42U1,40.0,SHIPPER,1
DK AAR,,,Empty,False,45G1,40.0,CARRIER,18
DK AAR,,,Empty,False,45G1,40.0,ONEWAY,1
DK AAR,,,Empty,False,45P3,40.0,CARRIER,1
DK AAR,,,Empty,False,45P3,40.0,ONEWAY,1
DK AAR,,,Empty,False,45R1,40.0,CARRIER,11
DK AAR,,,Empty,False,45R1,40.0,ONEWAY,18
DK AAR,,,Empty,False,45R1,40.0,SHIPPER,1
DK AAR,,,Empty,False,45U1,40.0,CARRIER,1
DK AAR,,,Empty,False,45U1,40.0,ONEWAY,1
DK AAR,,,Empty,False,4EG1,40.0,CARRIER,7
DK AAR,,,Empty,False,55P3,45.0,CARRIER,1
DK AAR,,,Empty,False,LEG2,45.0,CARRIER,1
DK AAR,,,Empty,True,22G1,20.0,CARRIER,1
DK AAR,,,Empty,True,22G1,20.0,ONEWAY,1
DK AAR,,,Empty,True,22K0,20.0,CARRIER,1
DK AAR,,,Empty,True,22K0,20.0,SHIPPER,1
DK AAR,,,Empty,True,22R1,20.0,ONEWAY,1
DK AAR,,,Empty,True,42P3,40.0,CARRIER,1
DK AAR,,,Empty,True,42U1,40.0,ONEWAY,1
DK AAR,,,Empty,True,45G1,40.0,CARRIER,4
DK AAR,,,Empty,True,45G1,40.0,ONEWAY,1
DK AAR,,,Empty,True,45P3,40.0,CARRIER,1
DK AAR,,,Empty,True,45R1,40.0,CARRIER,1
