Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,ContractType,Count,Truncated,FinalDestination,Commodity
2025,3,DE BRV,353,IS REY,508,42P3,40.0,CARRIER,LONG,1,True,US PWM,k169_42P3_40_CARRIER
2025,3,DE BRV,353,IS REY,508,45U1,40.0,CARRIER,LONG,1,True,CA NWP,k170_45U1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k171_45R1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,45R1,40.0,CARRIER,LONG,1,True,US PWM,k172_45R1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,42P3,40.0,LEASED,MASTER,1,False,IS REY,k173_42P3_40_LEASED
2025,3,DE BRV,353,IS REY,508,22G1,20.0,LEASED,ONEWAY,1,False,IS REY,k174_22G1_20_LEASED
2025,3,DK AAR,446,FO THO,496,42P3,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,FO THO,k175_42P3_40_CARRIER
2025,3,DK AAR,446,FO THO,496,LEG2,45.0,CARRIER,LONG,1,False,FO THO,k176_LEG2_45_CARRIER
2025,3,DK AAR,446,FO THO,496,4EG1,40.0,CARRIER,LONG,3,False,FO THO,k177_4EG1_40_CARRIER
2025,3,DK AAR,446,FO THO,496,45G1,40.0,LEASED,MASTER,1,False,FO THO,k178_45G1_40_LEASED
2025,3,DK AAR,446,FO THO,496,22K0,20.0,SHIPPER,,1,False,FO THO,k179_22K0_20_SHIPPER
2025,3,DK AAR,446,IS REY,540,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,IS VES,k180_45G1_40_CARRIER
2025,3,DK AAR,429,IS REY,508,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k181_22G1_20_CARRIER
2025,3,DK AAR,429,IS REY,508,4EG1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k182_4EG1_40_CARRIER
2025,3,DK AAR,429,IS REY,508,45G1,40.0,CARRIER,CABOTAGE,1,False,IS REY,k183_45G1_40_CARRIER
2025,3,DK AAR,429,IS REY,508,4EG1,40.0,CARRIER,LONG,4,False,IS REY,k184_4EG1_40_CARRIER
2025,3,DK AAR,446,IS REY,540,45G1,40.0,CARRIER,LONG,1,False,IS REY,k185_45G1_40_CARRIER
2025,3,DK AAR,429,IS REY,508,45R1,40.0,CARRIER,LONG,1,True,CA HAL,k186_45R1_40_CARRIER
2025,3,DK AAR,429,IS REY,508,45G1,40.0,LEASED,ONEWAY,1,False,IS REY,k187_45G1_40_LEASED
2025,3,DK AAR,429,IS REY,508,45G1,40.0,LEASED,ONEWAY,1,True,FO THO,k188_45G1_40_LEASED
2025,3,DK AAR,429,IS REY,508,42G1,40.0,LEASED,ONEWAY,1,False,IS REY,k189_42G1_40_LEASED
2025,3,DK AAR,429,IS REY,508,45R1,40.0,LEASED,ONEWAY,1,True,CA HAL,k190_45R1_40_LEASED
2025,3,DK AAR,429,IS REY,508,22R1,20.0,LEASED,PURCHASE,1,False,IS REY,k191_22R1_20_LEASED
2025,3,FO THO,452,DK AAR,586,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,DK AAR,k192_45R1_40_CARRIER
2025,3,FO THO,452,GB IMM,497,45H5,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,GB IMM,k193_45H5_40_CARRIER
2025,3,FO THO,452,GB IMM,497,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,GB IMM,k194_45R1_40_CARRIER
2025,3,FO THO,286,IS REY,540,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2,True,US PWM,k195_45R1_40_CARRIER
2025,3,FO THO,286,IS REY,540,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,US PWM,k196_45R1_40_CARRIER
2025,3,FO THO,286,IS REY,540,45R1,40.0,CARRIER,LONG,1,False,IS REY,k197_45R1_40_CARRIER
2025,3,GB IMM,337,FO THO,496,45R1,40.0,CARRIER,LONG,1,False,FO THO,k198_45R1_40_CARRIER
2025,3,GB IMM,337,IS REY,540,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,3,True,CA HAL,k199_45R1_40_CARRIER
2025,3,GB IMM,337,IS REY,540,45R1,40.0,CARRIER,LONG,1,True,IS VES,k200_45R1_40_CARRIER
2025,3,GB TEE,436,IS REY,492,4EG1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k201_4EG1_40_CARRIER
2025,3,GB TEE,436,IS REY,492,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k202_45G1_40_CARRIER
2025,3,GB TEE,436,IS REY,492,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,1,True,CA HAL,k203_22G1_20_CARRIER
2025,3,GB TEE,436,IS REY,492,45G1,40.0,CARRIER,CABOTAGE,1,False,IS REY,k204_45G1_40_CARRIER
2025,3,GB TEE,436,IS REY,492,45G1,40.0,CARRIER,LONG,1,True,US PWM,k205_45G1_40_CARRIER
2025,3,GB TEE,436,IS REY,492,22G1,20.0,CARRIER,LONG,1,False,IS REY,k206_22G1_20_CARRIER
2025,3,GB TEE,436,IS REY,492,22G1,20.0,LEASED,MASTER,2,False,IS REY,k207_22G1_20_LEASED
2025,3,IS REY,402,DE BRV,534,42U1,40.0,CARRIER,LONG,1,False,DE BRV,k208_42U1_40_CARRIER
2025,3,IS REY,402,DE BRV,534,45G1,40.0,CARRIER,LONG,2,False,DE BRV,k209_45G1_40_CARRIER
2025,3,IS REY,402,DE BRV,534,45P3,40.0,CARRIER,LONG,1,False,DE BRV,k210_45P3_40_CARRIER
2025,3,IS REY,402,DK AAR,586,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,DK AAR,k211_45G1_40_CARRIER
2025,3,IS REY,402,DK AAR,586,45G1,40.0,CARRIER,LONG,1,False,DK AAR,k212_45G1_40_CARRIER
2025,3,IS REY,402,DK AAR,586,22K0,20.0,SHIPPER,,1,False,DK AAR,k213_22K0_20_SHIPPER
2025,3,IS REY,402,FO THO,445,45G1,40.0,CARRIER,LONG,1,False,FO THO,k214_45G1_40_CARRIER
2025,3,IS REY,402,IS VES,412,45G1,40.0,LEASED,ONEWAY,1,False,IS VES,k215_45G1_40_LEASED
2025,3,IS REY,430,NL RTM,499,45G1,40.0,LEASED,ONEWAY,8,False,NL RTM,k216_45G1_40_LEASED
2025,3,IS REY,430,NL RTM,499,4EG1,40.0,LEASED,ONEWAY,1,False,NL RTM,k217_4EG1_40_LEASED
2025,3,IS REY,430,NL RTM,499,22G1,20.0,CARRIER,LONG,3,False,NL RTM,k219_22G1_20_CARRIER
2025,3,IS REY,381,US PWM,538,42G1,40.0,CARRIER,CABOTAGE,1,False,US PWM,k220_42G1_40_CARRIER
2025,3,IS REY,381,US PWM,538,22K0,20.0,CARRIER,LONG,1,False,US PWM,k221_22K0_20_CARRIER
2025,3,IS VES,415,DK AAR,586,45G1,40.0,LEASED,ONEWAY,1,False,DK AAR,k222_45G1_40_LEASED
2025,3,IS VES,415,GB IMM,497,45R1,40.0,CARRIER,LONG,1,False,GB IMM,k223_45R1_40_CARRIER
